"Date and time","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-09-05T18:00:00+0900,,,,,0,,
2024-09-05T17:50:00+0900,,,,,0,,
2024-09-05T17:40:00+0900,,,,,0,,
2024-09-05T17:30:00+0900,,,,,0,,
2024-09-05T17:20:00+0900,,,,,0,,
2024-09-05T17:10:00+0900,,,,,0,,
2024-09-05T17:00:00+0900,,,,,0,,
2024-09-05T16:50:00+0900,,,,,0,,
2024-09-05T16:40:00+0900,,,,,0,,
2024-09-05T16:30:00+0900,,,,,0,,
2024-09-05T16:20:00+0900,,,,,0,,
2024-09-05T16:10:00+0900,,,,,0,,
2024-09-05T16:00:00+0900,,,,,0,,
2024-09-05T15:50:00+0900,,,,,0,,
2024-09-05T15:40:00+0900,,,,,0,,
2024-09-05T15:30:00+0900,,,,,0,,
2024-09-05T15:20:00+0900,,,,,0,,
2024-09-05T15:10:00+0900,,,,,0,,
2024-09-05T15:00:00+0900,,,,,0,,
2024-09-05T14:50:00+0900,,,,,0,,
2024-09-05T14:40:00+0900,,,,,0,,
2024-09-05T14:30:00+0900,,,,,0,,
2024-09-05T14:20:00+0900,,,,,0,,
2024-09-05T14:10:00+0900,,,,,0,,
2024-09-05T14:00:00+0900,,,,,0,,
2024-09-05T13:50:00+0900,,,,,0,,
2024-09-05T13:40:00+0900,,,,,0,,
2024-09-05T13:30:00+0900,,,,,0,,
2024-09-05T13:20:00+0900,,,,,0,,
2024-09-05T13:10:00+0900,,,,,0,,
2024-09-05T13:00:00+0900,,,,,0,,
2024-09-05T12:50:00+0900,,,,,0,,
2024-09-05T12:40:00+0900,,,,,0,,
2024-09-05T12:30:00+0900,,,,,0,,
2024-09-05T12:20:00+0900,,,,,0,,
2024-09-05T12:10:00+0900,,,,,0,,
2024-09-05T12:00:00+0900,,,,,0,,
2024-09-05T11:50:00+0900,,,,,0,,
2024-09-05T11:40:00+0900,,,,,0,,
2024-09-05T11:30:00+0900,,,,,0,,
2024-09-05T11:20:00+0900,,,,,0,,
2024-09-05T11:10:00+0900,,,,,0,,
2024-09-05T11:00:00+0900,,,,,0,,
2024-09-05T10:50:00+0900,,,,,0,,
2024-09-05T10:40:00+0900,,,,,0,,
2024-09-05T10:30:00+0900,,,,,0,,
2024-09-05T10:20:00+0900,,,,,0,,
2024-09-05T10:10:00+0900,,,,,0,,
2024-09-05T10:00:00+0900,,,,,0,,
2024-09-05T09:50:00+0900,,,,,0,,
2024-09-05T09:40:00+0900,,,,,0,,
2024-09-05T09:30:00+0900,,,,,0,,
2024-09-05T09:20:00+0900,,,,,0,,
2024-09-05T09:10:00+0900,,,,,0,,
2024-09-05T09:00:00+0900,,,,,0,,
2024-09-05T08:50:00+0900,,,,,0,,
2024-09-05T08:40:00+0900,,,,,0,,
2024-09-05T08:30:00+0900,,,,,0,,
2024-09-05T08:20:00+0900,,,,,0,,
2024-09-05T08:10:00+0900,,,,,0,,
2024-09-05T08:00:00+0900,,,,,0,,
2024-09-05T07:50:00+0900,,,,,0,,
2024-09-05T07:40:00+0900,,,,,0,,
2024-09-05T07:30:00+0900,,,,,0,,
2024-09-05T07:20:00+0900,,,,,0,,
2024-09-05T07:10:00+0900,,,,,0,,
2024-09-05T07:00:00+0900,,,,,0,,
2024-09-05T06:50:00+0900,,,,,0,,
2024-09-05T06:40:00+0900,,,,,0,,
2024-09-05T06:30:00+0900,,,,,0,,
2024-09-05T06:20:00+0900,,,,,0,,
2024-09-05T06:10:00+0900,,,,,0,,
2024-09-05T06:00:00+0900,,,,,0,,
2024-09-05T05:50:00+0900,,,,,0,,
2024-09-05T05:40:00+0900,,,,,6,,
2024-09-05T05:30:00+0900,,,,,4,,
2024-09-05T05:20:00+0900,,,,,2,,
2024-09-05T05:10:00+0900,,,,,0,,
2024-09-05T05:00:00+0900,,,,,6,,
2024-09-05T04:50:00+0900,,,,,4,,
2024-09-05T04:40:00+0900,,,,,10,,
2024-09-05T04:30:00+0900,,,,,42,,
2024-09-05T04:20:00+0900,,,,,22,,
2024-09-05T04:10:00+0900,,,,,6,,
