"Date and time","Solar radiation (W/m2)(A1)"
2024-09-02T09:10:00+0900,0
2024-09-02T09:00:00+0900,0
2024-09-02T08:50:00+0900,0
2024-09-02T08:40:00+0900,0
2024-09-02T08:30:00+0900,0
2024-09-02T08:20:00+0900,0
2024-09-02T08:10:00+0900,0
2024-09-02T08:00:00+0900,0
2024-09-02T07:50:00+0900,0
2024-09-02T07:40:00+0900,0
2024-09-02T07:30:00+0900,0
2024-09-02T07:20:00+0900,0
2024-09-02T07:10:00+0900,0
2024-09-02T07:00:00+0900,0
2024-09-02T06:50:00+0900,0
2024-09-02T06:40:00+0900,0
2024-09-02T06:30:00+0900,0
2024-09-02T06:20:00+0900,2
2024-09-02T06:10:00+0900,6
2024-09-02T06:00:00+0900,12
2024-09-02T05:50:00+0900,20
2024-09-02T05:40:00+0900,28
2024-09-02T05:30:00+0900,46
2024-09-02T05:20:00+0900,56
2024-09-02T05:10:00+0900,84
2024-09-02T05:00:00+0900,118
2024-09-02T04:50:00+0900,170
2024-09-02T04:40:00+0900,216
2024-09-02T04:30:00+0900,146
2024-09-02T04:20:00+0900,152
2024-09-02T04:10:00+0900,158
2024-09-02T04:00:00+0900,192
2024-09-02T03:50:00+0900,168
2024-09-02T03:40:00+0900,204
2024-09-02T03:30:00+0900,198
2024-09-02T03:20:00+0900,214
2024-09-02T03:10:00+0900,270
2024-09-02T03:00:00+0900,318
2024-09-02T02:50:00+0900,326
2024-09-02T02:40:00+0900,496
2024-09-02T02:30:00+0900,368
2024-09-02T02:20:00+0900,546
2024-09-02T02:10:00+0900,330
2024-09-02T02:00:00+0900,378
2024-09-02T01:50:00+0900,392
2024-09-02T01:40:00+0900,472
2024-09-02T01:30:00+0900,524
2024-09-02T01:20:00+0900,484
2024-09-02T01:10:00+0900,340
2024-09-02T01:00:00+0900,416
2024-09-02T00:50:00+0900,398
2024-09-02T00:40:00+0900,516
2024-09-02T00:30:00+0900,480
2024-09-02T00:20:00+0900,448
2024-09-02T00:10:00+0900,306
2024-09-02T00:00:00+0900,258
