"Date and time","Soil Electronic Conductivity(S1)","Soil Electronic Conductivity(S2)","soil vwc(S1)","soil vwc(S2)","Solar radiation (W/m2)(A1)",Thermister(S1),Thermister(S2)
2024-09-24T19:00:00+0900,,,,,46,,
2024-09-24T18:50:00+0900,,,,,30,,
2024-09-24T18:40:00+0900,,,,,18,,
2024-09-24T18:30:00+0900,,,,,8,,
2024-09-24T18:20:00+0900,,,,,2,,
2024-09-24T18:10:00+0900,,,,,0,,
2024-09-24T18:00:00+0900,,,,,0,,
2024-09-24T17:50:00+0900,,,,,0,,
2024-09-24T17:40:00+0900,,,,,0,,
2024-09-24T17:30:00+0900,,,,,0,,
2024-09-24T17:20:00+0900,,,,,0,,
2024-09-24T17:10:00+0900,,,,,0,,
2024-09-24T17:00:00+0900,,,,,0,,
2024-09-24T16:50:00+0900,,,,,0,,
2024-09-24T16:40:00+0900,,,,,0,,
2024-09-24T16:30:00+0900,,,,,0,,
2024-09-24T16:20:00+0900,,,,,0,,
2024-09-24T16:10:00+0900,,,,,0,,
2024-09-24T16:00:00+0900,,,,,0,,
2024-09-24T15:50:00+0900,,,,,0,,
2024-09-24T15:40:00+0900,,,,,0,,
2024-09-24T15:30:00+0900,,,,,0,,
2024-09-24T15:20:00+0900,,,,,0,,
2024-09-24T15:10:00+0900,,,,,0,,
2024-09-24T15:00:00+0900,,,,,0,,
2024-09-24T14:50:00+0900,,,,,0,,
2024-09-24T14:40:00+0900,,,,,0,,
2024-09-24T14:30:00+0900,,,,,0,,
2024-09-24T14:20:00+0900,,,,,0,,
2024-09-24T14:10:00+0900,,,,,0,,
2024-09-24T14:00:00+0900,,,,,0,,
2024-09-24T13:50:00+0900,,,,,0,,
2024-09-24T13:40:00+0900,,,,,0,,
2024-09-24T13:30:00+0900,,,,,0,,
2024-09-24T13:20:00+0900,,,,,0,,
2024-09-24T13:10:00+0900,,,,,0,,
2024-09-24T13:00:00+0900,,,,,0,,
2024-09-24T12:50:00+0900,,,,,0,,
2024-09-24T12:40:00+0900,,,,,0,,
2024-09-24T12:30:00+0900,,,,,0,,
2024-09-24T12:20:00+0900,,,,,0,,
2024-09-24T12:10:00+0900,,,,,0,,
2024-09-24T12:00:00+0900,,,,,0,,
2024-09-24T11:50:00+0900,,,,,0,,
2024-09-24T11:40:00+0900,,,,,0,,
2024-09-24T11:30:00+0900,,,,,0,,
2024-09-24T11:20:00+0900,,,,,0,,
2024-09-24T11:10:00+0900,,,,,0,,
2024-09-24T11:00:00+0900,,,,,0,,
2024-09-24T10:50:00+0900,,,,,0,,
2024-09-24T10:40:00+0900,,,,,0,,
2024-09-24T10:30:00+0900,,,,,0,,
2024-09-24T10:20:00+0900,,,,,0,,
2024-09-24T10:10:00+0900,,,,,0,,
2024-09-24T10:00:00+0900,,,,,0,,
2024-09-24T09:50:00+0900,,,,,0,,
