"Date and time","Solar radiation (W/m2)(A1)"
2024-09-24T09:10:00+0900,0
2024-09-24T09:00:00+0900,0
2024-09-24T08:50:00+0900,0
2024-09-24T08:40:00+0900,0
2024-09-24T08:30:00+0900,0
2024-09-24T08:20:00+0900,0
2024-09-24T08:10:00+0900,0
2024-09-24T08:00:00+0900,0
2024-09-24T07:50:00+0900,0
2024-09-24T07:40:00+0900,0
2024-09-24T07:30:00+0900,0
2024-09-24T07:20:00+0900,0
2024-09-24T07:10:00+0900,0
2024-09-24T07:00:00+0900,0
2024-09-24T06:50:00+0900,0
2024-09-24T06:40:00+0900,0
2024-09-24T06:30:00+0900,4
2024-09-24T06:20:00+0900,8
2024-09-24T06:10:00+0900,18
2024-09-24T06:00:04+0900,36
2024-09-24T06:00:00+0900,36
2024-09-24T05:50:00+0900,54
2024-09-24T05:40:00+0900,96
2024-09-24T05:30:00+0900,148
2024-09-24T05:20:00+0900,106
2024-09-24T05:10:00+0900,154
2024-09-24T05:00:00+0900,212
2024-09-24T04:50:00+0900,250
2024-09-24T04:40:00+0900,264
2024-09-24T04:30:00+0900,298
2024-09-24T04:20:00+0900,338
2024-09-24T04:10:00+0900,356
2024-09-24T04:00:00+0900,342
2024-09-24T03:50:00+0900,346
2024-09-24T03:40:00+0900,372
2024-09-24T03:30:00+0900,350
2024-09-24T03:20:00+0900,364
2024-09-24T03:10:00+0900,382
2024-09-24T03:00:00+0900,394
2024-09-24T02:50:00+0900,444
2024-09-24T02:40:00+0900,506
2024-09-24T02:30:00+0900,498
2024-09-24T02:20:00+0900,420
2024-09-24T02:10:00+0900,530
2024-09-24T02:00:00+0900,376
2024-09-24T01:50:00+0900,664
2024-09-24T01:40:00+0900,692
2024-09-24T01:30:00+0900,748
2024-09-24T01:20:00+0900,700
2024-09-24T01:10:00+0900,784
2024-09-24T01:00:00+0900,502
2024-09-24T00:50:00+0900,672
2024-09-24T00:40:00+0900,770
2024-09-24T00:30:00+0900,758
2024-09-24T00:20:00+0900,706
2024-09-24T00:10:00+0900,654
2024-09-24T00:00:00+0900,694
2024-09-23T23:50:00+0900,660
2024-09-23T23:40:00+0900,634
2024-09-23T23:30:00+0900,566
2024-09-23T23:20:00+0900,440
2024-09-23T23:10:00+0900,442
2024-09-23T23:00:00+0900,488
2024-09-23T22:50:00+0900,490
2024-09-23T22:40:00+0900,508
2024-09-23T22:30:00+0900,380
2024-09-23T22:20:00+0900,342
2024-09-23T22:10:00+0900,310
2024-09-23T22:00:00+0900,268
2024-09-23T21:50:00+0900,246
2024-09-23T21:40:00+0900,228
2024-09-23T21:30:00+0900,212
2024-09-23T21:20:00+0900,190
2024-09-23T21:10:00+0900,176
2024-09-23T21:00:00+0900,162
2024-09-23T20:50:00+0900,160
2024-09-23T20:40:00+0900,162
2024-09-23T20:30:00+0900,148
2024-09-23T20:20:00+0900,140
2024-09-23T20:10:00+0900,124
2024-09-23T20:00:00+0900,106
2024-09-23T19:50:00+0900,94
2024-09-23T19:40:00+0900,76
2024-09-23T19:30:00+0900,62
2024-09-23T19:20:00+0900,48
2024-09-23T19:10:00+0900,38
2024-09-23T19:00:00+0900,28
2024-09-23T18:50:00+0900,20
2024-09-23T18:40:00+0900,10
2024-09-23T18:30:00+0900,2
2024-09-23T18:20:00+0900,2
2024-09-23T18:10:00+0900,0
2024-09-23T18:00:00+0900,0
2024-09-23T17:50:00+0900,0
2024-09-23T17:40:00+0900,0
2024-09-23T17:30:00+0900,0
2024-09-23T17:20:00+0900,0
2024-09-23T17:10:00+0900,0
2024-09-23T17:00:00+0900,0
2024-09-23T16:50:00+0900,0
2024-09-23T16:40:00+0900,0
2024-09-23T16:30:00+0900,0
2024-09-23T16:20:00+0900,0
2024-09-23T16:10:00+0900,0
2024-09-23T16:00:00+0900,0
2024-09-23T15:50:00+0900,0
2024-09-23T15:40:00+0900,0
2024-09-23T15:30:00+0900,0
2024-09-23T15:20:00+0900,0
2024-09-23T15:10:00+0900,0
2024-09-23T15:00:00+0900,0
2024-09-23T14:50:00+0900,0
2024-09-23T14:40:00+0900,0
2024-09-23T14:30:00+0900,0
2024-09-23T14:20:00+0900,0
2024-09-23T14:10:00+0900,0
2024-09-23T14:00:00+0900,0
2024-09-23T13:50:00+0900,0
2024-09-23T13:40:00+0900,0
2024-09-23T13:30:00+0900,0
2024-09-23T13:20:00+0900,0
2024-09-23T13:10:00+0900,0
2024-09-23T13:00:00+0900,0
2024-09-23T12:50:00+0900,0
2024-09-23T12:40:00+0900,0
2024-09-23T12:30:00+0900,0
2024-09-23T12:20:00+0900,0
2024-09-23T12:10:00+0900,0
2024-09-23T12:00:00+0900,0
2024-09-23T11:50:00+0900,0
2024-09-23T11:40:00+0900,0
2024-09-23T11:30:00+0900,0
2024-09-23T11:20:00+0900,0
2024-09-23T11:10:00+0900,0
2024-09-23T11:00:00+0900,0
2024-09-23T10:50:00+0900,0
2024-09-23T10:40:00+0900,0
2024-09-23T10:30:00+0900,0
2024-09-23T10:20:00+0900,0
2024-09-23T10:10:00+0900,0
2024-09-23T10:00:00+0900,0
2024-09-23T09:50:00+0900,0
2024-09-23T09:40:00+0900,0
2024-09-23T09:30:00+0900,0
2024-09-23T09:20:00+0900,0
2024-09-23T09:10:00+0900,0
2024-09-23T09:00:00+0900,0
2024-09-23T08:50:00+0900,0
2024-09-23T08:40:00+0900,0
2024-09-23T08:30:00+0900,0
2024-09-23T08:20:00+0900,0
2024-09-23T08:10:00+0900,0
2024-09-23T08:00:04+0900,0
2024-09-23T08:00:00+0900,0
2024-09-23T07:50:00+0900,0
2024-09-23T07:40:00+0900,0
2024-09-23T07:30:00+0900,0
2024-09-23T07:20:00+0900,0
2024-09-23T07:10:00+0900,0
2024-09-23T07:00:00+0900,0
2024-09-23T06:50:00+0900,0
2024-09-23T06:40:00+0900,0
2024-09-23T06:30:00+0900,6
2024-09-23T06:20:00+0900,12
2024-09-23T06:10:00+0900,20
2024-09-23T06:00:00+0900,36
2024-09-23T05:50:00+0900,54
2024-09-23T05:40:00+0900,74
2024-09-23T05:30:00+0900,96
2024-09-23T05:20:00+0900,108
2024-09-23T05:10:00+0900,122
2024-09-23T05:00:03+0900,156
2024-09-23T05:00:00+0900,156
2024-09-23T04:50:00+0900,182
2024-09-23T04:40:00+0900,208
2024-09-23T04:30:00+0900,234
2024-09-23T04:20:00+0900,254
2024-09-23T04:10:00+0900,302
2024-09-23T04:00:00+0900,330
2024-09-23T03:50:00+0900,358
2024-09-23T03:40:00+0900,386
2024-09-23T03:30:00+0900,410
2024-09-23T03:20:00+0900,430
2024-09-23T03:10:00+0900,436
2024-09-23T03:00:00+0900,474
2024-09-23T02:50:00+0900,506
2024-09-23T02:40:00+0900,534
2024-09-23T02:30:00+0900,552
2024-09-23T02:20:00+0900,566
2024-09-23T02:10:00+0900,570
2024-09-23T02:00:00+0900,594
2024-09-23T01:50:00+0900,588
2024-09-23T01:40:00+0900,580
2024-09-23T01:30:00+0900,590
2024-09-23T01:20:00+0900,612
2024-09-23T01:10:00+0900,488
2024-09-23T01:00:00+0900,692
2024-09-23T00:50:00+0900,706
2024-09-23T00:40:00+0900,710
2024-09-23T00:30:00+0900,544
2024-09-23T00:20:00+0900,694
2024-09-23T00:10:00+0900,338
2024-09-23T00:00:00+0900,530
